coin,symbol,cmc_id
Bitcoin,BTC
Bitcoin Cash,BCH
Etherium,ETH
Etherium Classic,ETC
Litecoin,LTC
Ox,ZRX
USD Coin,USDC
Basic Attention Token,BAT
Decentraland,MANA
Kyber Network,KNC
Chainlink,LINK
districtOx,DNT
Maker,MKR
Civic,CVC
OMG Network,OMG
Dai,DAI
Zcash,ZEC
Augur,REP
Stellar Lumens,XLM
EOS,EOS
Tezos,XTZ
Algorand,ALGO
Dash,DASH
Cosmos,ATOM
Orchid,OXT
Compound,COMP
Band Protocol,BAND
Numeraire,NMR
Celo,CGLD
UMA,UMA
Loopring,LRC
yearn.finance,YFI
Uniswap,UNI
Balancer,BAL
Ren,REN
Wrapped Bitcoin,WBTC
NuCypher,NU
Filecoin,FIL
Aave,AAVE
Bancor Network Token,BNT
The Graph,GRT
Synthetix Network Token,SNX
