Date,Open,High,Low,Close,Volume,Adj Close
2016-06-15,15.71,16.440001,15.71,15.96,53244100,15.96
2016-06-14,14.82,15.42,14.80,15.36,37103600,15.36
2016-06-13,14.63,15.30,14.51,14.55,42833000,14.55
2016-06-10,14.45,14.45,14.00,14.02,22046100,14.02
2016-06-09,14.84,14.86,14.59,14.60,12331500,14.60
2016-06-08,15.07,15.12,14.81,14.95,12899800,14.95
2016-06-07,15.36,15.37,14.91,15.00,16419100,15.00
2016-06-06,15.22,15.45,15.18,15.27,13729300,15.27
2016-06-03,15.11,15.35,14.96,15.20,15449200,15.20
2016-06-02,15.04,15.26,14.85,15.20,13114300,15.20
2016-06-01,15.22,15.22,14.62,15.02,18208300,15.02
2016-05-31,15.12,15.49,15.08,15.22,23966300,15.22
2016-05-27,14.25,15.10,14.23,15.10,28298300,15.10
2016-05-26,14.45,14.48,14.19,14.30,21048200,14.30
2016-05-25,14.07,14.57,14.06,14.41,23176700,14.41
2016-05-24,14.22,14.22,13.73,14.03,36179000,14.03
2016-05-23,14.40,14.60,14.33,14.41,12879200,14.41
2016-05-20,14.20,14.51,14.16,14.43,18474700,14.43
2016-05-19,14.15,14.31,14.04,14.15,15871100,14.15
2016-05-18,14.35,14.57,14.05,14.14,14222300,14.14
2016-05-17,14.21,14.59,14.13,14.34,15555700,14.34
2016-05-16,14.09,14.37,14.06,14.29,11535600,14.29
2016-05-13,14.06,14.28,14.00,14.10,12691700,14.10
2016-05-12,14.63,14.68,14.00,14.08,19806100,14.08
2016-05-11,14.61,14.86,14.44,14.59,13751000,14.59
2016-05-10,14.17,14.69,14.16,14.63,14517700,14.63
2016-05-09,14.28,14.47,14.15,14.20,11429700,14.20
2016-05-06,14.12,14.40,13.98,14.40,20983000,14.40
2016-05-05,14.93,14.98,14.08,14.12,28937300,14.12
2016-05-04,13.95,14.88,13.92,14.84,41538800,14.84
2016-05-03,14.22,14.25,13.90,14.01,25883700,14.01
2016-05-02,14.73,14.77,14.17,14.40,26085300,14.40
2016-04-29,14.70,14.93,14.32,14.62,26832900,14.62
2016-04-28,14.85,15.09,14.62,14.64,34603000,14.64
2016-04-27,15.15,15.28,14.81,14.86,84485800,14.86
2016-04-26,17.209999,17.98,17.08,17.75,34858300,17.75
2016-04-25,17.200001,17.75,16.879999,17.09,18931300,17.09
2016-04-22,17.33,17.51,17.02,17.23,14830600,17.23
