Date,Close,SMA15,SMA50
2016-06-15,15.96,"14.94","15.38"
2016-06-14,15.36,"14.82","15.40"
2016-06-13,14.55,"14.75","15.44"
2016-06-10,14.2,"14.74","15.47"
2016-06-09,14.60,"14.75","15.52"
2016-06-08,14.95,"14.72","15.55"
2016-06-07,15.0,"14.68","15.57"
2016-06-06,15.27,"14.63","15.59"
2016-06-03,15.20,"14.56","15.60"
2016-06-02,15.20,"14.48","15.61"
2016-06-01,15.2,"14.44","15.65"
2016-05-31,15.22,"14.41","15.68"
2016-05-27,15.10,"14.35","15.72"
2016-05-26,14.30,"14.30","15.75"
2016-05-25,14.41,"14.29","14.41"
2016-05-24,14.3,"14.32","14.3"
2016-05-23,14.41,"14.32","14.41"
2016-05-20,14.43,"14.31","14.43"
2016-05-19,14.15,"14.33","14.15"
2016-05-18,14.14,"14.36","14.14"
2016-05-17,14.34,"14.41","14.34"
2016-05-16,14.29,"14.64","14.29"
2016-05-13,14.10,"14.82","14.10"
2016-05-12,14.8,"15.3","14.8"
2016-05-11,14.59,"15.26","14.59"
2016-05-10,14.63,"15.45","14.63"
2016-05-09,14.20,"15.60","14.20"
2016-05-06,14.40,"15.81","14.40"
2016-05-05,14.12,"16.2","14.12"
2016-05-04,14.84,"16.25","14.84"
2016-05-03,14.1,"16.41","14.1"
2016-05-02,14.40,"16.59","14.40"
2016-04-29,14.62,"16.73","14.62"
2016-04-28,14.64,"16.86","14.64"
2016-04-27,14.86,"17.2","14.86"
2016-04-26,17.75,"17.18","17.75"
2016-04-25,17.9,"17.13","17.9"
2016-04-22,17.23,"17.13","17.23"
2016-04-21,17.51,"17.5","17.51"
2016-04-20,17.40,"16.98","17.40"
2016-04-19,16.92,"16.91","16.92"
2016-04-18,17.31,"16.85","17.31"
2016-04-15,17.58,"16.74","17.58"
2016-04-14,17.53,"16.63","17.53"
2016-04-13,17.37,"16.52","17.37"
2016-04-12,16.57,"16.49","16.57"
2016-04-11,16.51,"16.51","16.51"
2016-04-08,16.65,"16.53","16.65"
2016-04-07,16.98,"16.55","16.98"
2016-04-06,17.26,"17.26","17.26"
2016-04-05,17.5,"17.5","17.5"
2016-04-04,17.9,"17.9","17.9"
2016-04-01,15.98,"15.98","15.98"
2016-03-31,16.55,"16.55","16.55"
2016-03-30,16.36,"16.36","16.36"
2016-03-29,15.97,"15.97","15.97"
2016-03-28,15.60,"15.60","15.60"
2016-03-24,15.91,"15.91","15.91"
2016-03-23,16.1,"16.1","16.1"
2016-03-22,16.86,"16.86","16.86"
2016-03-21,16.89,"16.89","16.89"
2016-03-18,16.85,"16.85","16.85"
2016-03-17,16.85,"16.85","16.85"
