Date,BitCoin,Gold
2011-08-26,$10.42,$1788.00
2011-09-02,$8.57,$1875.25
2011-09-09,$6.41,$1851.00
2011-09-16,$5.77,$1794.00
2011-09-23,$5.60,$1689.00
2011-09-30,$5.08,$1620.00
2011-10-07,$4.72,$1652.00
2011-10-14,$4.20,$1678.00
2011-10-21,$2.70,$1642.50
2011-10-28,$3.22,$1741.00
2011-11-04,$3.15,$1749.00
2011-11-11,$3.07,$1773.00
2011-11-18,$2.47,$1719.00
2011-11-25,$2.74,$1688.50
2011-12-02,$2.96,$1747.00
2011-12-09,$2.96,$1709.00
2011-12-16,$3.26,$1594.00
2011-12-23,$4.02,$1606.50
2011-12-30,$4.43,$1531.00
2012-01-06,$6.21,$1616.50
2012-01-13,$6.70,$1635.50
2012-01-20,$6.39,$1653.00
2012-01-27,$5.83,$1726.00
2012-02-03,$5.84,$1734.00
2012-02-10,$5.71,$1711.50
2012-02-17,$4.71,$1723.00
2012-02-24,$4.69,$1777.50
2012-03-02,$4.87,$1707.00
2012-03-09,$4.93,$1687.50
2012-03-16,$5.23,$1658.00
2012-03-23,$4.82,$1664.00
2012-03-30,$4.78,$1662.50
2012-04-06,$4.90,$1631.00
2012-04-13,$4.88,$1666.50
2012-04-20,$5.14,$1641.50
2012-04-27,$5.07,$1663.50
2012-05-04,$5.05,$1643.75
2012-05-11,$4.99,$1583.00
2012-05-18,$5.00,$1589.50
2012-05-25,$5.07,$1569.50
2012-06-01,$5.11,$1606.00
2012-06-08,$5.38,$1576.50
2012-06-15,$5.89,$1627.25
2012-06-22,$6.44,$1565.50
2012-06-29,$6.49,$1598.50
2012-07-06,$6.58,$1587.00
2012-07-13,$7.38,$1595.50
2012-07-20,$8.49,$1576.25
2012-07-27,$8.59,$1618.25
2012-08-03,$9.98,$1602.00
2012-08-10,$11.18,$1618.50
2012-08-17,$12.15,$1614.75
2012-08-24,$10.19,$1667.00
2012-08-31,$10.64,$1648.50
2012-09-07,$10.64,$1728.00
2012-09-14,$11.38,$1775.50
2012-09-21,$12.24,$1784.50
2012-09-28,$12.23,$1776.00
2012-10-05,$12.60,$1784.00
2012-10-12,$11.94,$1766.75
2012-10-19,$11.76,$1737.00
2012-10-26,$10.66,$1716.00
2012-11-02,$10.66,$1685.00
2012-11-09,$10.73,$1738.25
2012-11-16,$11.18,$1713.50
2012-11-23,$11.92,$1734.50
2012-11-30,$12.31,$1726.00
2012-12-07,$13.09,$1701.50
2012-12-14,$13.44,$1696.25
2012-12-21,$13.23,$1651.50
2012-12-28,$13.25,$1657.50
2013-01-04,$13.24,$1648.00
2013-01-11,$13.62,$1657.50
2013-01-18,$14.86,$1688.50
2013-01-25,$17.12,$1660.00
2013-02-01,$19.61,$1669.00
2013-02-08,$21.69,$1668.25
2013-02-15,$25.83,$1612.25
2013-02-22,$29.06,$1576.50
2013-03-01,$32.29,$1582.25
2013-03-08,$42.38,$1581.75
2013-03-15,$46.80,$1595.50
2013-03-22,$62.76,$1607.75
2013-03-29,$85.98,$1598.25
2013-04-05,$128.32,$1568.00
2013-04-12,$149.17,$1535.50
2013-04-19,$95.15,$1405.50
2013-04-26,$134.36,$1471.50
2013-05-03,$118.18,$1469.25
2013-05-10,$113.09,$1426.50
2013-05-17,$114.30,$1368.75
2013-05-24,$123.19,$1390.25
2013-05-31,$127.65,$1394.50
2013-06-07,$114.74,$1386.00
2013-06-14,$103.67,$1391.25
2013-06-21,$104.06,$1295.25
2013-06-28,$96.58,$1192.00
2013-07-05,$77.97,$1212.75
2013-07-12,$83.48,$1279.75
2013-07-19,$89.60,$1295.75
2013-07-26,$89.76,$1331.00
2013-08-02,$97.64,$1309.25
2013-08-09,$97.78,$1309.00
2013-08-16,$100.26,$1369.25
2013-08-23,$108.56,$1377.50
2013-08-30,$119.81,$1394.75
2013-09-06,$125.64,$1387.00
2013-09-13,$124.70,$1318.50
2013-09-20,$127.42,$1349.25
2013-09-27,$130.86,$1341.00
2013-10-04,$127.12,$1309.75
2013-10-11,$130.08,$1265.50
2013-10-18,$148.95,$1316.50
2013-10-25,$187.49,$1347.75
2013-11-01,$201.23,$1306.75
2013-11-08,$304.45,$1285.50
2013-11-15,$404.50,$1287.25
2013-11-22,$600.87,$1246.25
2013-11-29,$957.81,$1253.00
2013-12-06,$935.63,$1233.00
2013-12-13,$773.82,$1232.00
2013-12-20,$664.59,$1195.25
2013-12-27,$710.34,$1214.50
2014-01-03,$788.55,$1234.50
2014-01-10,$882.30,$1244.25
2014-01-17,$849.75,$1250.00
2014-01-24,$843.79,$1267.00
2014-01-31,$828.54,$1251.00
2014-02-07,$773.33,$1259.25
2014-02-14,$623.60,$1320.00
2014-02-21,$530.49,$1323.25
2014-02-28,$489.16,$1326.50
2014-03-07,$645.12,$1335.25
2014-03-14,$636.89,$1385.00
2014-03-21,$598.46,$1336.00
2014-03-28,$543.89,$1294.75
2014-04-04,$458.59,$1297.25
2014-04-11,$434.35,$1318.00
2014-04-18,$492.02,$1299.00
2014-04-25,$476.80,$1301.25
2014-05-02,$442.68,$1281.25
2014-05-09,$438.77,$1291.25
2014-05-16,$443.51,$1291.50
2014-05-23,$503.20,$1291.50
2014-05-30,$590.10,$1250.50
2014-06-06,$647.15,$1247.50
2014-06-13,$613.49,$1273.00
2014-06-20,$599.41,$1312.50
2014-06-27,$587.24,$1317.50
2014-07-04,$641.20,$1319.25
2014-07-11,$629.47,$1335.00
2014-07-18,$625.16,$1307.25
2014-07-25,$609.28,$1294.75
2014-08-01,$584.91,$1291.25
2014-08-08,$590.31,$1309.75
2014-08-15,$534.41,$1296.00
2014-08-22,$498.02,$1277.25
2014-08-29,$507.07,$1285.75
2014-09-05,$481.96,$1266.00
2014-09-12,$477.53,$1231.50
2014-09-19,$436.31,$1219.75
2014-09-26,$408.68,$1213.75
2014-10-03,$364.73,$1195.00
2014-10-10,$342.97,$1219.00
2014-10-17,$388.16,$1234.25
