date,USD
2011-08-19,1848.00
2011-08-26,1788.00
2011-09-02,1875.25
2011-09-09,1851.00
2011-09-16,1794.00
2011-09-23,1689.00
2011-09-30,1620.00
2011-10-07,1652.00
2011-10-14,1678.00
2011-10-21,1642.50
2011-10-28,1741.00
2011-11-04,1749.00
2011-11-11,1773.00
2011-11-18,1719.00
2011-11-25,1688.50
2011-12-02,1747.00
2011-12-09,1709.00
2011-12-16,1594.00
2011-12-23,1606.50
2011-12-30,1531.00
2012-01-06,1616.50
2012-01-13,1635.50
2012-01-20,1653.00
2012-01-27,1726.00
2012-02-03,1734.00
2012-02-10,1711.50
2012-02-17,1723.00
2012-02-24,1777.50
2012-03-02,1707.00
2012-03-09,1687.50
2012-03-16,1658.00
2012-03-23,1664.00
2012-03-30,1662.50
2012-04-06,1631.00
2012-04-13,1666.50
2012-04-20,1641.50
2012-04-27,1663.50
2012-05-04,1643.75
2012-05-11,1583.00
2012-05-18,1589.50
2012-05-25,1569.50
2012-06-01,1606.00
2012-06-08,1576.50
2012-06-15,1627.25
2012-06-22,1565.50
2012-06-29,1598.50
2012-07-06,1587.00
2012-07-13,1595.50
2012-07-20,1576.25
2012-07-27,1618.25
2012-08-03,1602.00
2012-08-10,1618.50
2012-08-17,1614.75
2012-08-24,1667.00
2012-08-31,1648.50
2012-09-07,1728.00
2012-09-14,1775.50
2012-09-21,1784.50
2012-09-28,1776.00
2012-10-05,1784.00
2012-10-12,1766.75
2012-10-19,1737.00
2012-10-26,1716.00
2012-11-02,1685.00
2012-11-09,1738.25
2012-11-16,1713.50
2012-11-23,1734.50
2012-11-30,1726.00
2012-12-07,1701.50
2012-12-14,1696.25
2012-12-21,1651.50
2012-12-28,1657.50
2013-01-04,1648.00
2013-01-11,1657.50
2013-01-18,1688.50
2013-01-25,1660.00
2013-02-01,1669.00
2013-02-08,1668.25
2013-02-15,1612.25
2013-02-22,1576.50
2013-03-01,1582.25
2013-03-08,1581.75
2013-03-15,1595.50
2013-03-22,1607.75
2013-03-29,1598.25
2013-04-05,1568.00
2013-04-12,1535.50
2013-04-19,1405.50
2013-04-26,1471.50
2013-05-03,1469.25
2013-05-10,1426.50
2013-05-17,1368.75
2013-05-24,1390.25
2013-05-31,1394.50
2013-06-07,1386.00
2013-06-14,1391.25
2013-06-21,1295.25
2013-06-28,1192.00
2013-07-05,1212.75
2013-07-12,1279.75
2013-07-19,1295.75
2013-07-26,1331.00
2013-08-02,1309.25
2013-08-09,1309.00
2013-08-16,1369.25
2013-08-23,1377.50
2013-08-30,1394.75
2013-09-06,1387.00
2013-09-13,1318.50
2013-09-20,1349.25
2013-09-27,1341.00
2013-10-04,1309.75
2013-10-11,1265.50
2013-10-18,1316.50
2013-10-25,1347.75
2013-11-01,1306.75
2013-11-08,1285.50
2013-11-15,1287.25
2013-11-22,1246.25
2013-11-29,1253.00
2013-12-06,1233.00
2013-12-13,1232.00
2013-12-20,1195.25
2013-12-27,1214.50
2014-01-03,1234.50
2014-01-10,1244.25
2014-01-17,1250.00
2014-01-24,1267.00
2014-01-31,1251.00
2014-02-07,1259.25
2014-02-14,1320.00
2014-02-21,1323.25
2014-02-28,1326.50
2014-03-07,1335.25
2014-03-14,1385.00
2014-03-21,1336.00
2014-03-28,1294.75
2014-04-04,1297.25
2014-04-11,1318.00
2014-04-18,1299.00
