Date,Score,Fitted Score
2015-12-03,362.49,362.49
2015-12-04,360.88,363.53
2015-12-05,377.72,364.58
2015-12-06,390.04,365.62
2015-12-07,395.58,366.67
2015-12-08,394.99,367.71
2015-12-09,414.01,368.76
2015-12-10,415.64,369.80
2015-12-11,444.29,370.85
2015-12-12,426.06,371.89
2015-12-13,438.79,372.94
2015-12-14,445.60,373.98
2015-12-15,459.48,375.02
2015-12-16,454.43,376.07
2015-12-17,453.39,377.11
2015-12-18,458.95,378.16
2015-12-19,461.16,379.20
2015-12-20,434.98,380.25
2015-12-21,438.70,381.29
2015-12-22,435.98,382.34
2015-12-23,441.40,383.38
2015-12-24,453.95,384.43
2015-12-25,454.98,385.47
2015-12-26,417.99,386.51
2015-12-27,418.46,387.56
2015-12-28,423.98,388.60
2015-12-29,431.13,389.65
2015-12-30,428.00,390.69
2015-12-31,429.34,391.74
2016-01-01,432.33,392.78
2016-01-02,433.94,393.83
2016-01-03,428.13,394.87
2016-01-04,433.00,395.91
2016-01-05,431.90,396.96
2016-01-06,430.75,398.00
2016-01-07,453.71,399.05
2016-01-08,447.04,400.09
2016-01-09,450.15,401.14
2016-01-10,446.24,402.18
2016-01-11,447.11,403.23
2016-01-12,446.66,404.27
2016-01-13,429.57,405.32
2016-01-14,431.90,406.36
2016-01-15,391.62,407.40
2016-01-16,370.40,408.45
2016-01-17,385.45,409.49
2016-01-18,385.28,410.54
2016-01-19,378.66,411.58
2016-01-20,408.33,412.63
2016-01-21,408.00,413.67
2016-01-22,385.70,414.72
2016-01-23,388.50,415.76
2016-01-24,404.75,416.81
2016-01-25,387.09,417.85
2016-01-26,394.12,418.89
2016-01-27,394.45,419.94
2016-01-28,382.44,420.98
2016-01-29,377.26,422.03
2016-01-30,378.24,423.07
2016-01-31,376.86,424.12
2016-02-01,372.00,425.16
2016-02-02,373.48,426.21
2016-02-03,368.38,427.25
2016-02-04,385.06,428.30
2016-02-05,386.49,429.34
2016-02-06,373.04,430.38
2016-02-07,373.74,431.43
2016-02-08,375.80,432.47
2016-02-09,372.61,433.52
2016-02-10,378.98,434.56
2016-02-11,376.75,435.61
2016-02-12,381.46,436.65
2016-02-13,388.60,437.70
2016-02-14,402.38,438.74
2016-02-15,402.64,439.78
2016-02-16,406.69,440.83
2016-02-17,418.04,441.87
2016-02-18,418.97,442.92
2016-02-19,418.02,443.96
2016-02-20,439.48,445.01
2016-02-21,434.67,446.05
2016-02-22,438.50,447.10
