Date,BTC Price,SMA 12, SMA 26
2015-12-03,$362.49,$362.49,$362.49
2015-12-04,$360.88,$361.68,$361.68
2015-12-05,$377.72,$367.03,$367.03
2015-12-06,$390.04,$372.78,$372.78
2015-12-07,$395.58,$377.34,$377.34
2015-12-08,$394.99,$380.28,$380.28
2015-12-09,$414.01,$385.10,$385.10
2015-12-10,$415.64,$388.92,$388.92
2015-12-11,$444.29,$395.07,$395.07
2015-12-12,$426.06,$398.17,$398.17
2015-12-13,$438.79,$401.86,$401.86
2015-12-14,$445.60,$405.51,$405.51
2015-12-15,$459.48,$413.59,$409.66
2015-12-16,$454.43,$421.39,$412.86
2015-12-17,$453.39,$427.69,$415.56
2015-12-18,$458.95,$433.43,$418.27
2015-12-19,$461.16,$438.90,$420.79
2015-12-20,$434.98,$442.23,$421.58
2015-12-21,$438.70,$444.29,$422.48
2015-12-22,$435.98,$445.98,$423.16
2015-12-23,$441.40,$445.74,$424.03
2015-12-24,$453.95,$448.07,$425.39
2015-12-25,$454.98,$449.42,$426.67
2015-12-26,$417.99,$447.12,$426.31
2015-12-27,$418.46,$443.70,$426.00
2015-12-28,$423.98,$441.16,$425.92
2015-12-29,$431.13,$439.30,$428.56
2015-12-30,$428.00,$436.73,$431.14
2015-12-31,$429.34,$434.07,$433.13
2016-01-01,$432.33,$433.85,$434.75
2016-01-02,$433.94,$433.46,$436.23
2016-01-03,$428.13,$432.80,$437.50
2016-01-04,$433.00,$432.10,$438.23
2016-01-05,$431.90,$430.26,$438.86
2016-01-06,$430.75,$428.25,$438.34
2016-01-07,$453.71,$431.22,$439.40
2016-01-08,$447.04,$433.60,$439.72
2016-01-09,$450.15,$435.78,$439.89
2016-01-10,$446.24,$437.04,$439.38
2016-01-11,$447.11,$438.64,$439.10
2016-01-12,$446.66,$440.08,$438.84
2016-01-13,$429.57,$439.85,$437.71
2016-01-14,$431.90,$439.68,$436.59
2016-01-15,$391.62,$436.64,$434.92
2016-01-16,$370.40,$431.42,$432.29
2016-01-17,$385.45,$427.55,$430.35
2016-01-18,$385.28,$423.76,$428.19
2016-01-19,$378.66,$417.51,$425.30
2016-01-20,$408.33,$414.28,$423.50
2016-01-21,$408.00,$410.77,$423.12
2016-01-22,$385.70,$405.72,$421.86
2016-01-23,$388.50,$400.84,$420.49
2016-01-24,$404.75,$397.35,$419.48
2016-01-25,$387.09,$393.81,$417.91
2016-01-26,$394.12,$390.66,$416.55
2016-01-27,$394.45,$390.89,$415.09
2016-01-28,$382.44,$391.90,$413.11
2016-01-29,$377.26,$391.21,$411.16
2016-01-30,$378.24,$390.63,$409.05
2016-01-31,$376.86,$390.48,$406.93
2016-02-01,$372.00,$387.45,$404.67
2016-02-02,$373.48,$384.57,$401.59
2016-02-03,$368.38,$383.13,$398.56
2016-02-04,$385.06,$382.84,$396.06
2016-02-05,$386.49,$381.32,$393.76
2016-02-06,$373.04,$380.15,$390.91
2016-02-07,$373.74,$378.45,$388.11
2016-02-08,$375.80,$376.90,$386.04
2016-02-09,$372.61,$376.08,$383.76
2016-02-10,$378.98,$376.22,$383.27
2016-02-11,$376.75,$376.10,$383.52
2016-02-12,$381.46,$376.48,$383.36
2016-02-13,$388.60,$377.87,$383.49
2016-02-14,$402.38,$380.27,$384.40
2016-02-15,$402.64,$383.13,$384.19
2016-02-16,$406.69,$384.93,$384.13
2016-02-17,$418.04,$387.56,$385.38
2016-02-18,$418.97,$391.39,$386.55
