Date,BTC Price,EMA 12,EMA 26
2015-12-03,$362.49,$362.49,$362.49
2015-12-04,$360.88,$362.24,$362.37
2015-12-05,$377.72,$364.62,$363.51
2015-12-06,$390.04,$368.53,$365.47
2015-12-07,$395.58,$372.69,$367.70
2015-12-08,$394.99,$376.12,$369.72
2015-12-09,$414.01,$381.95,$373.00
2015-12-10,$415.64,$387.14,$376.16
2015-12-11,$444.29,$395.93,$381.21
2015-12-12,$426.06,$400.56,$384.53
2015-12-13,$438.79,$406.45,$388.55
2015-12-14,$445.60,$412.47,$392.78
2015-12-15,$459.48,$419.70,$397.72
2015-12-16,$454.43,$425.04,$401.92
2015-12-17,$453.39,$429.41,$405.73
2015-12-18,$458.95,$433.95,$409.67
2015-12-19,$461.16,$438.14,$413.49
2015-12-20,$434.98,$437.65,$415.08
2015-12-21,$438.70,$437.81,$416.83
2015-12-22,$435.98,$437.53,$418.25
2015-12-23,$441.40,$438.13,$419.96
2015-12-24,$453.95,$440.56,$422.48
2015-12-25,$454.98,$442.78,$424.89
2015-12-26,$417.99,$438.97,$424.38
2015-12-27,$418.46,$435.81,$423.94
2015-12-28,$423.98,$433.99,$423.94
2015-12-29,$431.13,$433.55,$424.47
2015-12-30,$428.00,$432.70,$424.74
2015-12-31,$429.34,$432.18,$425.08
2016-01-01,$432.33,$432.20,$425.61
2016-01-02,$433.94,$432.47,$426.23
2016-01-03,$428.13,$431.80,$426.37
2016-01-04,$433.00,$431.99,$426.86
2016-01-05,$431.90,$431.97,$427.24
2016-01-06,$430.75,$431.79,$427.50
2016-01-07,$453.71,$435.16,$429.44
2016-01-08,$447.04,$436.99,$430.74
2016-01-09,$450.15,$439.01,$432.18
2016-01-10,$446.24,$440.12,$433.22
2016-01-11,$447.11,$441.20,$434.25
2016-01-12,$446.66,$442.04,$435.17
2016-01-13,$429.57,$440.12,$434.75
2016-01-14,$431.90,$438.86,$434.54
2016-01-15,$391.62,$431.59,$431.36
2016-01-16,$370.40,$422.18,$426.85
2016-01-17,$385.45,$416.53,$423.78
2016-01-18,$385.28,$411.72,$420.93
2016-01-19,$378.66,$406.63,$417.80
2016-01-20,$408.33,$406.89,$417.10
2016-01-21,$408.00,$407.06,$416.42
2016-01-22,$385.70,$403.78,$414.15
2016-01-23,$388.50,$401.43,$412.25
2016-01-24,$404.75,$401.94,$411.69
2016-01-25,$387.09,$399.65,$409.87
2016-01-26,$394.12,$398.80,$408.70
2016-01-27,$394.45,$398.13,$407.65
2016-01-28,$382.44,$395.72,$405.78
2016-01-29,$377.26,$392.88,$403.67
2016-01-30,$378.24,$390.63,$401.78
2016-01-31,$376.86,$388.51,$399.94
2016-02-01,$372.00,$385.97,$397.87
2016-02-02,$373.48,$384.05,$396.06
2016-02-03,$368.38,$381.64,$394.01
2016-02-04,$385.06,$382.16,$393.35
2016-02-05,$386.49,$382.83,$392.84
2016-02-06,$373.04,$381.32,$391.37
2016-02-07,$373.74,$380.16,$390.07
2016-02-08,$375.80,$379.49,$389.01
2016-02-09,$372.61,$378.43,$387.80
2016-02-10,$378.98,$378.51,$387.14
2016-02-11,$376.75,$378.24,$386.37
2016-02-12,$381.46,$378.74,$386.01
2016-02-13,$388.60,$380.25,$386.20
2016-02-14,$402.38,$383.66,$387.40
2016-02-15,$402.64,$386.58,$388.53
2016-02-16,$406.69,$389.67,$389.87
2016-02-17,$418.04,$394.04,$391.96
2016-02-18,$418.97,$397.87,$393.96
2016-02-19,$418.02,$400.97,$395.74
2016-02-20,$439.48,$406.90,$398.98
2016-02-21,$434.67,$411.17,$401.63
2016-02-22,$438.50,$415.37,$404.36
2016-02-23,$417.00,$415.62,$405.29
2016-02-24,$423.10,$416.77,$406.61
2016-02-25,$421.40,$417.49,$407.71
2016-02-26,$424.34,$418.54,$408.94
2016-02-27,$432.00,$420.61,$410.65
2016-02-28,$433.47,$422.59,$412.34
2016-02-29,$436.18,$424.68,$414.10
2016-03-01,$431.87,$425.79,$415.42
2016-03-02,$429.99,$426.43,$416.50
2016-03-03,$421.44,$425.66,$416.87
2016-03-04,$416.48,$424.25,$416.84
2016-03-05,$401.00,$420.67,$415.66
2016-03-06,$408.86,$418.86,$415.16
2016-03-07,$411.94,$417.79,$414.92
2016-03-08,$412.39,$416.96,$414.73
2016-03-09,$413.10,$416.37,$414.61
2016-03-10,$416.00,$416.31,$414.72
2016-03-11,$421.22,$417.07,$415.20
2016-03-12,$410.00,$415.98,$414.81
2016-03-13,$412.44,$415.43,$414.64
2016-03-14,$413.89,$415.20,$414.58
2016-03-15,$414.78,$415.13,$414.60
2016-03-16,$415.99,$415.26,$414.70
2016-03-17,$418.64,$415.78,$414.99
2016-03-18,$408.87,$414.72,$414.54
2016-03-19,$405.59,$413.32,$413.88
2016-03-20,$410.77,$412.92,$413.65
2016-03-21,$410.49,$412.55,$413.41
2016-03-22,$415.35,$412.98,$413.56
2016-03-23,$417.80,$413.72,$413.87
2016-03-24,$416.47,$414.14,$414.06
2016-03-25,$416.44,$414.50,$414.24
2016-03-26,$415.71,$414.68,$414.35
2016-03-27,$426.80,$416.55,$415.27
2016-03-28,$422.96,$417.53,$415.84
2016-03-29,$414.00,$416.99,$415.70
2016-03-30,$412.35,$416.28,$415.45
2016-03-31,$416.94,$416.38,$415.56
2016-04-01,$416.25,$416.36,$415.62
2016-04-02,$418.07,$416.62,$415.80
2016-04-03,$418.07,$416.85,$415.97
2016-04-04,$418.99,$417.18,$416.19
2016-04-05,$421.77,$417.88,$416.60
2016-04-06,$421.09,$418.38,$416.94
2016-04-07,$420.33,$418.68,$417.19
2016-04-08,$422.20,$419.22,$417.56
2016-04-09,$417.73,$418.99,$417.57
2016-04-10,$421.63,$419.40,$417.87
2016-04-11,$420.69,$419.59,$418.08
2016-04-12,$425.89,$420.56,$418.66
2016-04-13,$424.61,$421.19,$419.10
2016-04-14,$423.76,$421.58,$419.44
2016-04-15,$429.09,$422.74,$420.16
2016-04-16,$429.43,$423.77,$420.85
2016-04-17,$425.71,$424.07,$421.21
2016-04-18,$427.28,$424.56,$421.66
2016-04-19,$435.91,$426.31,$422.71
2016-04-20,$442.34,$428.77,$424.17
2016-04-21,$451.00,$432.19,$426.15
2016-04-22,$447.25,$434.51,$427.72
2016-04-23,$451.29,$437.09,$429.46
2016-04-24,$459.40,$440.52,$431.68
2016-04-25,$463.86,$444.11,$434.06
2016-04-26,$467.98,$447.79,$436.58
2016-04-27,$447.31,$447.71,$437.37
2016-04-28,$450.00,$448.06,$438.31
2016-04-29,$456.16,$449.31,$439.63
2016-04-30,$447.17,$448.98,$440.19
2016-05-01,$451.90,$449.43,$441.06
2016-05-02,$443.90,$448.58,$441.27
2016-05-03,$450.96,$448.95,$441.98
2016-05-04,$447.37,$448.70,$442.38
2016-05-05,$448.51,$448.67,$442.84
2016-05-06,$460.91,$450.56,$444.18
2016-05-07,$459.04,$451.86,$445.28
2016-05-08,$457.82,$452.78,$446.21
2016-05-09,$461.63,$454.14,$447.35
2016-05-10,$450.00,$453.50,$447.54
2016-05-11,$452.51,$453.35,$447.91
2016-05-12,$454.70,$453.56,$448.42
2016-05-13,$456.82,$454.06,$449.04
2016-05-14,$455.65,$454.30,$449.53
2016-05-15,$457.08,$454.73,$450.09
2016-05-16,$454.88,$454.75,$450.44
2016-05-17,$452.89,$454.47,$450.62
2016-05-18,$452.90,$454.23,$450.79
2016-05-19,$441.87,$452.33,$450.13
2016-05-20,$441.25,$450.62,$449.47
2016-05-21,$443.89,$449.59,$449.06
2016-05-22,$438.00,$447.80,$448.24
2016-05-23,$442.17,$446.94,$447.79
2016-05-24,$445.34,$446.69,$447.61
2016-05-25,$447.94,$446.88,$447.63
2016-05-26,$452.49,$447.75,$447.99
2016-05-27,$470.29,$451.21,$449.65
2016-05-28,$522.43,$462.17,$455.04
2016-05-29,$512.16,$469.86,$459.27
2016-05-30,$525.15,$478.37,$464.15
2016-05-31,$531.15,$486.49,$469.11
2016-06-01,$539.47,$494.64,$474.32
2016-06-02,$539.99,$501.62,$479.19
2016-06-03,$568.00,$511.83,$485.77
