US State,Personal Debt
Alaska,$40714.00
Hawaii,$33111.00
Connecticut,$31298.00
Ohio,$27836.00
Illinois,$24959.00
New Jersey,$24134.00
New Mexico,$24041.00
Oregon,$22229.00
California,$20449.00
New York,$19799.00
Kentucky,$19689.00
Massachusetts,$19493.00
Nevada,$19152.00
Mississippi,$18321.00
Louisiana,$18097.00
Rhode Island,$17960.00
Delaware,$17437.00
Wyoming,$17265.00
Colorado,$16748.00
Maryland,$16010.00
Minnesota,$15965.00
Montana,$15689.00
South Carolina,$15053.00
Pennsylvania,$14487.00
Michigan,$14435.00
Alabama,$14173.00
New Hampshire,$13951.00
Kansas,$13523.00
West Virginia,$13459.00
North Dakota,$13241.00
Texas,$13083.00
Washington,$12988.00
Arkansas,$12785.00
Missouri,$12702.00
Maine,$12577.00
Vermont,$12566.00
Utah,$12513.00
Iowa,$12290.00
Georgia,$11612.00
Oklahoma,$11574.00
Virginia,$11158.00
North Carolina,$11032.00
Florida,$10243.00
Idaho,$9459.00
Arizona,$9321.00
South Dakota,$9249.00
Wisconsin,$7863.00
Indiana,$7094.00
Nebraska,$7081.00
Tennessee,$6358.00
