Total Debts by US State
US State,Total Debts (USD)
California,7.779184e11
New York,3.8746567e11
Texas,3.4094422e11
Illinois,3.213541e11
Ohio,3.2134077e11
New Jersey,2.1393387e11
Florida,1.9787162e11
Pennsylvania,1.8490376e11
Michigan,1.4266802e11
Massachusetts,1.2955026e11
Georgia,1.15193864e11
Connecticut,1.1237207e11
North Carolina,1.0758029e11
Maryland,9.421101e10
Virginia,9.1339104e10
Washington,8.957948e10
Colorado,8.687941e10
Oregon,8.6678266e10
Kentucky,8.624573e10
Minnesota,8.587953e10
Louisiana,8.328081e10
Missouri,7.648901e10
South Carolina,7.110556e10
Alabama,6.8343595e10
Arizona,6.1082636e10
Mississippi,5.4686814e10
Nevada,5.283863e10
New Mexico,5.0137506e10
Indiana,4.6377636e10
Hawaii,4.6100857e10
Wisconsin,4.5026644e10
Oklahoma,4.4151947e10
Tennessee,4.104974e10
Kansas,3.9025693e10
Iowa,3.778306e10
Arkansas,3.7704937e10
Utah,3.5727753e10
Alaska,2.9780396e10
West Virginia,2.497246e10
Rhode Island,1.8863153e10
New Hampshire,1.8425567e10
Maine,1.671725e10
Delaware,1.5991093e10
Montana,1.5769183e10
Idaho,1.5094322e10
Nebraska,1.3139045e10
Wyoming,9.951523e9
North Dakota,9.263742e9
Vermont,7.866666e9
South Dakota,7.707458e9
