id	article_id	publish_dt	update_dt	title
275322	08cf5409-52c9-59e7-a9ba-a46f6506ffb6	2018-06-08	2018-06-08	Live scoreboard: High school playoffs
275116	46a8198e-1653-5bb8-b992-8bb4dd5c67c1	2018-06-05	2018-06-06	Hurricanes come, but the residents of Hatteras Island wouldn't dream of leaving.
274844	e5decfb4-1cc5-52f8-ac1e-332257d8b7a0	2018-05-30	2018-05-31	Is your startup ready for the Inside Business spotlight?
274502	fe997d65-9969-5b4a-8cf6-8846943c7488	2018-05-21		Rankings | Top 10 baseball teams in South Hampton Roads
274497	fa8c30e6-b8e4-5009-b6c3-a15a3ccc3ec7	2018-05-21	2018-05-21	Final rankings: Top 10 softball teams in South Hampton Roads
274492	f5a9e306-1fc9-53c2-bdc6-4a1ace3fe8c9	2018-05-21		Rankings | The top 10 boys soccer teams in South Hampton Roads
274488	976e7e54-ac9f-5a34-9bef-f3bac4f55f34	2018-05-21		Rankings | The top 10 girls soccer teams in South Hampton Roads
274156	548ed490-4d62-11e8-82a0-478ed9be83da	2018-05-13	2018-05-13	If you are looking to shoot unique wedding photos, a Victorian Smithfield home is available.
274130	edcb33bc-47e8-5149-9cb5-ad6edc258607	2018-05-14	2018-05-16	Latin American food heating up grills in Hampton Roads
273781	fe997d65-9969-5b4a-8cf6-8846943c7488	2018-05-07	2018-05-14	Rankings | Top 10 baseball teams in South Hampton Roads
273775	fa8c30e6-b8e4-5009-b6c3-a15a3ccc3ec7	2018-05-07		Rankings: Top 10 softball teams in South Hampton Roads
273764	976e7e54-ac9f-5a34-9bef-f3bac4f55f34	2018-05-07	2018-05-14	Rankings | The top 10 girls soccer teams in South Hampton Roads
273759	f5a9e306-1fc9-53c2-bdc6-4a1ace3fe8c9	2018-05-07		Rankings | The top 10 boys soccer teams in South Hampton Roads
273517	548ed490-4d62-11e8-82a0-478ed9be83da	2018-05-01	2018-05-13	Want to shoot some unique wedding photos? A Victorian Smithfield home is open for business.
272985	e465496e-3e62-11e8-86c6-a38033aeb858	2018-04-23	2018-05-02	Public Records for week of April 23
272962	d5f4eaf8-3e83-11e8-95c9-73ed6ee729ca	2018-04-20	2018-05-02	Calendar for week of April 23
272910	13178cf6-3f42-11e8-9294-5fe120094766	2018-04-19		5 pets that need a home
272909	08b9682c-3e9a-11e8-8bce-7f60c413ada4	2018-04-19		Virginia Beach family explores their Scottish roots by performing at Virginia International Tattoo
272908	1b6e0c95-04e4-534a-97fc-2dbaff6ae194	2018-04-19	2018-04-19	Choosing the right meal style for your reception
272907	dbe498ee-4231-11e8-af46-6f1fa93dac08	2018-04-19	2018-04-19	Thrifty Thursday: 3 pieces of Italian pottery for less than $10 - what a steal
272906	4a33e7aa-4237-11e8-bfdf-57881617e148	2018-04-19	2018-04-19	Kendrick Lamar deserves his Pulitzer. Rap is the most significant music of our time.
272905	ffc8cc2e-43be-11e8-824a-0fea7d0ca771	2018-04-19	2018-04-19	National Weather Service issues warning about wildfire
272904	be18e1f6-434b-11e8-95d8-eff405d13f58	2018-04-19		Carmen Elektracat and 4 other animals are looking for a place to call home
272903	d5e0ccd4-43c5-11e8-be0d-379607a3bbb3	2018-04-19	2018-04-19	She wore a dinosaur puppet during a military oath. It got her and a colonel removed from the job.
272902	2d2f615c-4345-11e8-b1a3-efebe4cc3e1f	2018-04-19	2018-04-19	9 people shot in 5 days in Portsmouth, but police see no apparent connection
272901	bc6df5c6-41ac-11e8-865a-af586a26695f	2018-04-19		Visit India in Norfolk this Saturday with festival at The Ted
272900	e0881a72-43c8-11e8-b125-532bf326720c	2018-04-19	2018-04-19	She shared drug-smuggling vacation on social media. Now "Cocaine Babe" is off to prison.
272899	c55563ca-43cf-11e8-8f3f-0f830fd41251	2018-04-19	2018-04-20	Virginia Beach Marine returns home, surprises his sons in tearful reunion after deployment
272898	189c2f28-425e-11e8-9457-97980f2baed6	2018-04-19	2018-04-19	"I Feel Pretty" is bold take on self-love, but premise takes it on superficially
272897	b4d6e2d2-3f4a-11e8-b22a-a77c2aade9e6	2018-04-19	2018-04-19	Got weekend plans? Here's a list of what's happening.
272896	151e2c58-3f4c-11e8-bb5f-9b1f7488f006	2018-04-19		Want tarot card readers, fire-spinners, cosplay and music? Try Norfolk's StarFire
272895	7aa83a6e-41bd-11e8-962a-577f178e4637	2018-04-19		Catch 2: Lacrae, Gokey lead music festival; James, Webster headline jazz show
