uuid,id,publish_dt
08cf5409-52c9-59e7-a9ba-a46f6506ffb6,1518,2017-12-10
08cf5409-52c9-59e7-a9ba-a46f6506ffb6,269826,2018-02-21
08cf5409-52c9-59e7-a9ba-a46f6506ffb6,270399,2018-03-03
08cf5409-52c9-59e7-a9ba-a46f6506ffb6,275322,2018-06-08
098e42bc-368f-11e8-a40a-03507fc5b471,271960,2018-04-02
098e42bc-368f-11e8-a40a-03507fc5b471,272366,2018-04-09
0d030c00-ce1d-57fc-a20f-7cad3456f8aa,268468,2018-01-24
0d030c00-ce1d-57fc-a20f-7cad3456f8aa,268966,2018-01-28
1e611daa-2626-11e8-af99-8f325649c40a,271015,2018-03-12
1e611daa-2626-11e8-af99-8f325649c40a,271552,2018-03-19
221ed6b6-6c5e-558f-9054-2f1edd98c4b7,269505,2018-02-12
221ed6b6-6c5e-558f-9054-2f1edd98c4b7,270088,2018-02-23
2f597328-3104-587d-8180-5a17fc2576f4,502,2018-01-02
2f597328-3104-587d-8180-5a17fc2576f4,268894,2018-02-02
32ca187a-be49-54dc-a1e7-fd22d3019aab,268934,2018-02-01
32ca187a-be49-54dc-a1e7-fd22d3019aab,269334,2018-02-05
3c663dcb-0566-50d8-b594-70ad0402647c,269240,2018-02-07
3c663dcb-0566-50d8-b594-70ad0402647c,269796,2018-02-14
40c17e35-0e14-5091-8159-d7e1fac11076,270387,2018-02-27
40c17e35-0e14-5091-8159-d7e1fac11076,270771,2018-03-09
46a8198e-1653-5bb8-b992-8bb4dd5c67c1,10288,2017-06-28
46a8198e-1653-5bb8-b992-8bb4dd5c67c1,269067,2018-02-01
46a8198e-1653-5bb8-b992-8bb4dd5c67c1,275116,2018-06-05
505128ac-32c2-11e8-a98e-930a1c7bf460,271677,2018-03-28
505128ac-32c2-11e8-a98e-930a1c7bf460,272164,2018-04-05
548ed490-4d62-11e8-82a0-478ed9be83da,273517,2018-05-01
548ed490-4d62-11e8-82a0-478ed9be83da,274156,2018-05-13
60840b9a-fd7b-56dd-9f9c-10fbbcebddff,221,2018-01-09
60840b9a-fd7b-56dd-9f9c-10fbbcebddff,268719,2018-01-30
